manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,2,Dove Deodorant,placed,manifest_executed_floor,,,True,258.62749977364575,757.9232289122036,-155.0,258.62749977364575,757.9232289122036,-147.95419496516473,121.54027280236063,48.95712759155372,14.091610069670537
2,3,Pringles,placed,manifest_executed_floor,,,True,131.46051813356138,755.0005102800983,-155.0,131.46051813356138,755.0005102800983,-105.0439852365509,62.92103626712276,54.80256456019668,99.91202952689821
3,4,Chex Mix,placed,manifest_executed_unmodeled_fallback,,,True,258.62749977364575,757.9232289122036,-118.94253116761614,258.62749977364575,757.9232289122036,-105.53236945817737,138.84704471674914,96.95547981677299,26.820323418877525
4,5,Pringles,placed,manifest_executed_supported_stack,2,,True,131.46051813356138,755.0005102800983,-55.08797047310179,131.46051813356138,755.0005102800983,-8.013853677060212,60.82603790995843,53.633516163338406,94.14823359208316
5,6,Bandaid,placed,manifest_executed_supported_stack_with_boundary_overflow,4,,False,131.46051813356138,755.0005102800983,39.06026311898137,131.46051813356138,755.0005102800983,86.58780876907245,95.81688610228404,41.92341393475865,95.05509130018217
6,8,Dove Deodorant,placed,manifest_executed_supported_stack_with_boundary_overflow,5,,False,131.46051813356138,755.0005102800983,134.11535441916354,131.46051813356138,755.0005102800983,143.38656565974523,89.95184073600534,51.287052719698025,18.54242248116337
7,9,Lays Chips,placed,manifest_executed_unmodeled_fallback_with_boundary_overflow,,,False,258.62749977364575,757.9232289122036,-59.9846058590286,258.62749977364575,757.9232289122036,-39.699543394177596,166.09243876844468,108.57888016412959,40.570124929702004
8,11,Burts Bees,placed,manifest_executed_supported_stack_with_boundary_overflow,6,,False,131.46051813356138,755.0005102800983,156.21813211097341,131.46051813356138,755.0005102800983,163.51404079931274,78.16130177090764,54.8580391873117,14.591817376678627
9,3,Lays Chips,placed,manifest_executed_unmodeled_fallback_with_aabb_overlap,,2|4|7,True,217.65145501977895,755.9007878317946,-76.44628443590128,217.65145501977895,755.9007878317946,-59.7686420221475,162.9424950988898,112.2417573018409,33.355284827507546
10,4,Burts Bees,placed,manifest_executed_supported_stack_with_aabb_overlap,9,7,True,217.65145501977895,755.9007878317946,-43.09099960839373,217.65145501977895,755.9007878317946,-32.90990405394595,78.80122815962217,55.24710532082684,20.36219110889556
11,5,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,7,4|7,True,217.65145501977895,755.9007878317946,-22.72880849949817,217.65145501977895,755.9007878317946,-11.68193189182104,129.92426111926667,101.39179488761806,22.093753215354262
12,6,Dove Deodorant,placed,manifest_executed_floor_with_aabb_overlap,,1,True,278.570104545411,753.3149531971221,-155.0,278.570104545411,753.3149531971221,-146.68290806445728,117.41342639424433,48.14396909082201,16.63418387108542
13,8,Pringles,placed,manifest_executed_unmodeled_fallback_with_boundary_overflow,,,False,217.65145501977895,755.9007878317946,6.865392122944513,217.65145501977895,755.9007878317946,58.102205185521555,61.226240039197464,53.392256187057555,102.47362612515408
14,9,Bandaid,placed,manifest_executed_supported_stack_with_aabb_overlap_with_boundary_overflow,13,5|6|8,False,217.65145501977895,755.9007878317946,109.3390182480986,217.65145501977895,755.9007878317946,140.35574025108082,106.10244769969286,32.93615216434711,62.03344400596447
15,10,Dove Deodorant,pending,not_placed:pending,,,,,,,,,,,,
