manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Chex Mix,placed,manifest_executed_floor,,,True,168.26036500979617,753.8518466326776,-155.0,168.26036500979617,753.8518466326776,-146.5164554837156,146.52073001959235,97.7036932653552,16.9670890325688
2,2,Bandaid,placed,manifest_executed_floor_with_aabb_overlap,,1,True,263.35561353550725,751.5850081673628,-155.0,263.35561353550725,751.5850081673628,-136.0775552961076,123.17001633472576,83.6697670710145,37.84488940778484
3,3,Burts Bees,placed,manifest_executed_supported_stack,2,,True,263.35561353550725,751.5850081673628,-117.15511059221517,263.35561353550725,751.5850081673628,-107.39188559246307,76.22478288515666,59.283467401833654,19.52644999950421
4,4,Carmex Lip Balm,placed,manifest_executed_supported_stack,3,,True,263.35561353550725,751.5850081673628,-97.62866059271096,263.35561353550725,751.5850081673628,-95.30495204357621,97.24272525002216,62.37582562902962,4.647417098269493
5,5,Dove Deodorant,placed,manifest_executed_supported_stack,4,,True,263.35561353550725,751.5850081673628,-92.98124349444146,263.35561353550725,751.5850081673628,-83.26346292298057,111.93843114742104,54.05402032310462,19.435561142921795
6,6,Pringles,placed,manifest_executed_supported_stack,5,,True,263.35561353550725,751.5850081673628,-73.54568235151967,263.35561353550725,751.5850081673628,-21.047786114301267,61.84827775043847,49.93152882156854,104.99579247443681
7,1,Bandaid,placed,manifest_executed_floor_with_aabb_overlap,,1,True,145.37313105866605,729.8492960298968,-155.0,145.37313105866605,729.8492960298968,-111.68384038844508,110.74626211733211,39.69859205979345,86.63231922310985
8,2,Lays Chips,placed,manifest_executed_floor_with_aabb_overlap,,1|2|7,True,210.0,755.0,-155.0,210.0,755.0,-139.05762277898967,161.58870794121123,107.99348061306598,31.884754442020643
9,3,Burts Bees,placed,manifest_executed_supported_stack,7,,True,145.37313105866605,729.8492960298968,-68.36768077689015,145.37313105866605,729.8492960298968,-59.77470018678281,79.6780774215184,57.0455742670066,17.185961180214683
10,4,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,8,2|3|4|7,True,210.0,755.0,-123.11524555797935,210.0,755.0,-107.64260806565254,142.14033624471793,93.707755548803,30.945274984653615
11,5,Pringles,placed,manifest_executed_floor_with_aabb_overlap,,2|8,True,288.85902416231414,746.1769791976618,-155.0,288.85902416231414,746.1769791976618,-151.4250098179835,62.35395839532355,36.1293403246283,7.1499803640329915
12,6,Burts Bees,placed,manifest_executed_supported_stack,9,,True,145.37313105866605,729.8492960298968,-51.181719596675464,145.37313105866605,729.8492960298968,-46.998618860751684,98.2008031320231,65.1902055331193,8.366201471847557
13,7,Dove Deodorant,placed,manifest_executed_supported_stack,12,,True,145.37313105866605,729.8492960298968,-42.8155181248279,145.37313105866605,729.8492960298968,-35.79121310074674,114.6685435971555,51.64250140346551,14.048610048162328
14,8,Pringles,placed,manifest_executed_supported_stack,13,,True,145.37313105866605,729.8492960298968,-28.766908076665572,145.37313105866605,729.8492960298968,-5.792760947208599,69.5243663752234,68.21329980646819,45.94829425891395
15,9,Lays Chips,placed,manifest_executed_floor_with_aabb_overlap_with_boundary_overflow,,1|2|3|4|5|6|7|8|9|10|11,False,210.0,755.0,-155.0,210.0,755.0,-107.19699336763667,379.7247185933746,264.57741234189376,95.60601326472667
16,10,Lays Chips,placed,manifest_executed_floor_with_aabb_overlap_with_boundary_overflow,,1|2|3|4|5|6|7|8|9|10|11|15,False,210.0,755.0,-155.0,210.0,755.0,-106.08697091254939,378.87911009557223,262.2624644033774,97.82605817490122
17,11,Burts Bees,pending,not_placed:pending,,,,,,,,,,,,
