manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Lays Chips,placed,manifest_executed_floor,,,True,186.739140414197,752.4061379525432,-155.0,186.739140414197,752.4061379525432,-128.42778174122117,173.47828082839402,104.81227590508645,53.14443651755768
2,2,Bandaid,placed,manifest_executed_floor_with_aabb_overlap,,1,True,186.739140414197,752.4061379525432,-155.0,186.739140414197,752.4061379525432,-139.73986111771018,130.22845879052002,87.68095550610396,30.52027776457966
3,3,Pringles,placed,manifest_executed_supported_stack,1,,True,288.5256828526809,726.8505642864633,-101.85556348244234,288.5256828526809,726.8505642864633,-47.58594867845287,62.94863370536182,53.70112857292649,108.53922960797892
4,4,Dove Deodorant,placed,manifest_executed_supported_stack,1,,True,186.739140414197,752.4061379525432,-101.85556348244234,186.739140414197,752.4061379525432,-93.21705614050414,117.49252530177286,43.83503520348689,17.277014683876388
5,5,Burts Bees,placed,manifest_executed_supported_stack,3,,True,288.5256828526809,726.8505642864633,6.68366612553659,288.5256828526809,726.8505642864633,15.455934248183478,80.91978423391781,56.68351865688371,17.544536245293777
