name,robot_x_mm,robot_y_mm,robot_z_mm,robot_phi_deg,overhead_u_px,overhead_v_px,overhead_theta_deg,stereo_left_u_px,stereo_left_v_px,stereo_right_u_px,stereo_right_v_px,stereo_disparity_px,stereo_x_mm,stereo_y_mm,stereo_z_mm,stereo_theta_deg
P1_front_left,75.00869792579772,245.02239473087127,25.0,0.05542827325007238,1146.483416748047,647.567007446289,129.590247057804,439.65355682373047,160.4542709350586,378.3358444213867,160.001065826416,61.31771240234375,112.40751963792863,-85.52916046333036,-455.3694432444252,30.854238613111015
P2_front_right,465.00795767536044,245.00013718064656,25.0,0.02579953075003516,1164.6271179199218,102.47570610046387,-157.2026951248003,98.56945152282715,167.73000106811523,53.48948726654053,171.37599868774413,45.07996425628662,-223.6872932857611,-84.67446853646132,-458.079131254112,112.09699962466576
P3_back_right,450.0116050556655,579.9959297730655,25.0,-0.11175753750011097,694.4241973876954,119.63537673950195,-177.39289864310928,,,,,,,,,
P4_back_left,167.99471636238803,529.9741038935663,25.0,-0.06838868225007388,743.28203125,507.748461151123,131.60704383948064,361.87767590974505,448.2663654528166,282.09162180047286,449.66261050575656,79.7860541092722,31.195203469392123,146.643894098545,-349.1904536578693,55.65511984246427
P5_center,300.01461362299347,300.0151634295423,25.0,0.09534910525009366,1060.4996704101563,337.35355377197266,162.64013425896457,220.5638885498047,217.29364318847655,158.56879577636718,219.27197875976563,61.9950927734375,-88.9048895506122,-32.09177359810947,-436.48482028213465,79.55740475917528
P6_mid_front,300.01672565322485,400.028966673784,25.0,-0.09891841575010574,941.3517395019531,330.2230819702148,161.83677175936725,202.8177719116211,292.5052879333496,137.35910034179688,292.02875061035155,65.45867156982422,-95.75668736587485,33.394956426829445,-403.2173082700407,77.68517992177382
