z_level_mm,grid_name,x_cmd_mm,y_cmd_mm,z_cmd_mm,floor_height_cmd_mm,is_reference_pose,reachable_ik,target_safe,path_safe,move_attempted,move_ok,reason,robot_x_mm,robot_y_mm,robot_z_mm,robot_phi_deg,overhead_visible,overhead_used_for_homography,overhead_u_raw_px,overhead_v_raw_px,overhead_u_used_px,overhead_v_used_px,overhead_theta_deg,overhead_samples,stereo_visible,stereo_x_mm,stereo_y_mm,stereo_z_mm,stereo_left_u_px,stereo_left_v_px,stereo_right_u_px,stereo_right_v_px,stereo_disparity_px,stereo_theta_deg,stereo_samples
0.0,z0_x100_y250,100.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,100.01286228703043,250.0256407366198,0.0,0.03198518050001553,True,True,940.8012512207031,643.9445068359375,937.6793334960937,641.3920715332031,128.060103871421,10,True,42.778110691908594,-151.2919391588199,-490.1087451122934,362.1200805664063,102.30361404418946,304.32301025390626,102.09311599731446,57.7970703125,31.965230825245897,10
0.0,z0_x120_y250,120.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,119.99869380652581,249.99255541764762,0.0,-0.06759165175006387,True,True,927.8347717285156,616.5551147460938,925.0531066894531,614.3684020996094,132.07385128631267,10,True,23.715261617499046,-142.0799977433741,-493.0437141706178,343.25865478515624,111.51144943237304,285.3885131835938,111.7503448486328,57.8701416015625,35.97160724037663,10
0.0,z0_x140_y250,140.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,140.01045485275154,250.00735489789037,0.0,-0.020168337000001202,True,True,926.9208984375,589.8167724609375,924.29775390625,587.9186706542969,136.2538402844307,10,True,3.4865695563390062,-142.2808206383358,-497.0246995289741,323.242626953125,112.08809814453124,265.91710510253904,113.0974494934082,57.325521850585936,40.21180867745504,10
0.0,z0_x160_y250,160.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,159.99017217491996,249.97318924483886,0.0,-0.029767356500030928,True,True,926.112841796875,563.2321166992188,923.6412048339844,561.6075317382813,139.97265150316647,10,True,-16.51667323091158,-141.53125394819259,-497.5243479936823,303.5715393066406,112.93620834350585,246.59585571289062,114.41106567382812,56.97568359375,44.990845549310414,10
0.0,z0_x180_y250,180.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,179.97633886964377,249.97586885943224,0.0,-0.09638871025009621,True,True,924.8869506835938,536.9173156738282,922.56484375,535.5495483398438,143.6911728106636,10,True,-36.51718613191602,-140.6569294498047,-498.5889265744598,284.0324951171875,114.41222381591797,227.68116149902343,115.9232162475586,56.35133361816406,50.682333971558144,10
0.0,z0_x200_y250,200.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,199.99227664702062,249.97574084315627,0.0,-0.0020099030000011453,True,True,923.7680725097656,510.9263458251953,921.5839050292968,509.7937286376953,148.02279924067403,10,True,-56.349491078699884,-139.90597986518898,-499.26991005798754,264.7944763183594,115.43360137939453,209.2015838623047,117.73893127441406,55.592892456054685,55.718917449782374,10
0.0,z0_x220_y250,220.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,220.02433784027528,250.01299241390595,0.0,0.028346563000042124,True,True,923.0930053710938,485.2264038085938,921.0292602539063,484.30547485351565,151.9723636558886,10,True,-76.20907912263142,-139.38938848004418,-500.3867790653829,245.81092529296876,116.65407485961914,191.21349182128907,119.41063537597657,54.597433471679686,60.03061777542867,10
0.0,z0_x240_y250,240.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,239.98554142413604,249.9841908922664,0.0,-0.005319312250009034,True,True,922.0587219238281,459.27288208007815,920.1104370117188,458.54722290039064,154.86896994622936,10,True,-96.27095866941643,-139.08347925442692,-502.5572738920131,227.1346405029297,118.11548919677735,173.80248260498047,121.21803817749023,53.332157897949216,66.21121861728203,10
0.0,z0_x260_y250,260.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,260.03324601088576,250.03069287939186,0.0,0.09401494550007783,True,True,921.13505859375,433.64451904296874,919.2873168945313,433.0916015625,158.29375062293008,10,True,-116.14111966198182,-138.49405572267136,-504.16470211025774,208.9335906982422,119.8842758178711,156.9438934326172,123.14380493164063,51.989697265625,72.72036663392417,10
0.0,z0_x280_y250,280.0,250.0,0.0,120.0,False,True,True,True,True,True,valid overhead,279.9845380190301,249.97521314063943,0.0,0.10832684100010681,True,True,920.2995910644531,408.2685272216797,918.5376708984375,407.867333984375,161.67493363788333,10,True,-135.61906632879828,-137.6718363694219,-504.4947879712551,191.21251068115234,121.68497848510742,140.5602005004883,125.01167373657226,50.65231018066406,77.08870241826432,10
