manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Dove Deodorant,placed,manifest_executed_floor,,,True,268.3199633350084,785.999982438542,-155.0,268.3199633350084,785.999982438542,-142.88617961755077,113.3600726700168,48.000034877084005,24.22764076489848
2,2,Burts Bees,placed,manifest_executed_floor,,,True,250.49374007486915,729.1140825053083,-155.0,250.49374007486915,729.1140825053083,-148.07333230990744,77.7076261497383,58.22816501061651,13.853335380185129
3,3,Bandaid,placed,manifest_executed_supported_stack_with_aabb_overlap,2,1,True,161.88726349115126,745.6529650568042,-141.14666461981489,161.88726349115126,745.6529650568042,-125.35208469681976,123.77452698230253,91.3059301136083,31.58915984599026
4,4,Chex Mix,placed,manifest_executed_supported_stack,3,,True,161.88726349115126,745.6529650568042,-109.55750477382463,161.88726349115126,745.6529650568042,-94.08540436285682,136.58579740354733,96.03847134002152,30.94420082193563
5,5,Pringles,placed,manifest_executed_supported_stack,4,,True,161.88726349115126,745.6529650568042,-78.61330395188901,161.88726349115126,745.6529650568042,-27.468371201997854,60.081996360509706,58.67884212356372,102.28986549978231
6,6,Lays Chips,placed,manifest_executed_supported_stack,5,,True,161.88726349115126,745.6529650568042,23.6765615478933,161.88726349115126,745.6529650568042,38.65502166120645,163.8283845461995,112.66401928278631,29.956920226626295
