manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Burts Bees,miss,not_placed:miss,,,,137.65395112623045,780.3038829512878,-155.0,,,,,,
2,2,Bandaid,placed,manifest_executed_floor,,,True,240.6978408918223,753.6489111887096,-155.0,240.6978408918223,753.6489111887096,-138.78525773559832,123.4280297836446,87.2223243774191,32.42948452880335
3,3,Lays Chips,placed,manifest_executed_supported_stack,2,,True,240.6978408918223,753.6489111887096,-122.57051547119664,240.6978408918223,753.6489111887096,-101.23121838797745,169.9698734060942,108.62064925231026,42.678594166438394
4,4,Pringles,placed,manifest_executed_unmodeled_fallback_with_aabb_overlap,,3,True,131.2389999143753,736.3360239409658,-136.54790600317926,131.2389999143753,736.3360239409658,-85.46403205120444,62.47799982875066,53.99487388193164,102.16774790394965
