camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,u_px,v_px,red,green,blue,color_source
37.87173080444336,-292.89190673828125,-702.3775634765625,382.7405848236289,118.96011655968539,-29.457527248355973,354.9999988335666,63.00000696250859,0.6941176652908325,0.5254902243614197,0.3764705955982208,calibrated_uv_reprojection_plus_stereo_left
39.01051712036133,-290.2392272949219,-695.9737548828125,377.5009431050669,120.8924634501343,-25.53546439829813,356.00000002252256,62.999996655185015,0.615686297416687,0.4941176474094391,0.3333333432674408,calibrated_uv_reprojection_plus_stereo_left
40.499935150146484,-290.2936096191406,-696.061767578125,376.7217423029492,119.5502006866106,-25.545771050662097,356.9999989066171,63.000012767533974,0.5647059082984924,0.4431372582912445,0.29019609093666077,calibrated_uv_reprojection_plus_stereo_left
42.01057052612305,-290.4905700683594,-696.4915161132812,376.1758141528779,118.03312904476348,-25.76297952444628,358.00000042229465,63.00000134297957,0.4901960790157318,0.37254902720451355,0.250980406999588,calibrated_uv_reprojection_plus_stereo_left
43.5090446472168,-290.59259033203125,-696.693603515625,375.47338088649514,116.63077971239665,-25.842284300245637,359.00000022796524,62.99999445197801,0.3450980484485626,0.239215686917305,0.125490203499794,calibrated_uv_reprojection_plus_stereo_left
45.372467041015625,-293.0446472167969,-702.5296020507812,378.60762497572733,112.3335473963038,-29.33253066748665,359.99999843119537,63.00001281821304,0.2549019753932953,0.1921568661928177,0.10588235408067703,calibrated_uv_reprojection_plus_stereo_left
31.76428985595703,-290.281005859375,-699.8551025390625,383.2918711238898,126.06640176510717,-28.86692465878042,351.0000009784064,63.99998950817479,0.7176470756530762,0.5647059082984924,0.4274509847164154,calibrated_uv_reprojection_plus_stereo_left
33.31001663208008,-290.7724304199219,-700.997314453125,383.2354820672057,124.19398059985878,-29.51713079073636,351.9999987194957,64.00001351444689,0.843137264251709,0.6705882549285889,0.5254902243614197,calibrated_uv_reprojection_plus_stereo_left
34.74724197387695,-290.3148193359375,-699.8514404296875,381.60205471499694,123.46050919251434,-28.778389310427258,353.0000000330205,64.00000011951965,0.9176470637321472,0.7490196228027344,0.6039215922355652,calibrated_uv_reprojection_plus_stereo_left
36.200477600097656,-290.0227355957031,-699.1047973632812,380.2454245958095,122.53087629167203,-28.282093878374496,353.99999899251327,64.00001216768214,0.8980392217636108,0.7372549176216125,0.5921568870544434,calibrated_uv_reprojection_plus_stereo_left
37.65945816040039,-289.797607421875,-698.51953125,379.00113261009506,121.52256375470148,-27.883792757258277,354.9999992286765,63.999997655653544,0.8196078538894653,0.6705882549285889,0.5254902243614197,calibrated_uv_reprojection_plus_stereo_left
38.966915130615234,-288.467529296875,-695.2711791992188,375.9355579737761,121.86196075414006,-25.869675107600585,355.9999999093498,63.9999902332834,0.6705882549285889,0.5490196347236633,0.4117647111415863,calibrated_uv_reprojection_plus_stereo_left
40.44412612915039,-288.4451599121094,-695.1749267578125,375.0311091964735,120.61456952148421,-25.768371909093332,357.0000003869412,63.99999180493904,0.6039215922355652,0.4745098054409027,0.34117648005485535,calibrated_uv_reprojection_plus_stereo_left
