manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Pringles,placed,manifest_executed_floor,,,True,289.14081675744944,737.3281331420046,-155.0,289.14081675744944,737.3281331420046,-105.64690122997536,61.71836551489893,54.65626628400917,98.70619754004929
2,2,Bandaid,placed,manifest_executed_floor,,,True,165.3496462802406,752.4770194919563,-155.0,165.3496462802406,752.4770194919563,-134.89358139128996,130.69929256048118,84.9540389839125,40.212837217420066
3,3,Carmex Lip Balm,placed,manifest_executed_supported_stack,1,,True,289.14081675744944,737.3281331420046,-56.29380245995071,289.14081675744944,737.3281331420046,-52.74794402621248,98.34686516026453,62.18605999133345,7.091716867476464
4,4,Chex Mix,placed,manifest_executed_supported_stack,2,,True,165.3496462802406,752.4770194919563,-114.78716278257993,165.3496462802406,752.4770194919563,-102.55387835531423,159.099482664695,97.44135321471454,24.466568854531403
5,5,Burts Bees,placed,manifest_executed_supported_stack,3,,True,289.14081675744944,737.3281331420046,-49.20208559247425,289.14081675744944,737.3281331420046,-41.287711161564,79.04020565497389,56.59460149296741,15.8287488618205
6,6,Lays Chips,placed,manifest_executed_supported_stack_with_aabb_overlap,4,3,True,165.3496462802406,752.4770194919563,-90.32059392804852,165.3496462802406,752.4770194919563,-71.94749460060662,152.25505563230317,121.17886547857972,36.746198654883806
7,7,Dove Deodorant,placed,manifest_executed_supported_stack,6,,True,165.3496462802406,752.4770194919563,-53.57439527316471,165.3496462802406,752.4770194919563,-45.04932557113177,116.77510202192272,46.73896715112224,17.050139404065884
