manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Burts Bees,placed,manifest_executed_floor,,,True,282.66200437876813,729.5365141985855,-155.0,282.66200437876813,729.5365141985855,-144.74999382671916,74.67599075753627,59.07302839717094,20.500012346561675
2,2,Dove Deodorant,placed,manifest_executed_floor_with_aabb_overlap,,1,True,252.77471598587198,762.8433916036739,-155.0,252.77471598587198,762.8433916036739,-148.33775839535036,94.45056797174395,47.54072720734778,13.32448320929928
3,3,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,2,1,True,252.77471598587198,762.8433916036739,-141.67551679070073,252.77471598587198,762.8433916036739,-133.13092896907665,143.41257030468262,101.20631414593579,17.089175643248172
4,4,Bandaid,placed,manifest_executed_supported_stack,3,,True,252.77471598587198,762.8433916036739,-124.58634114745256,252.77471598587198,762.8433916036739,-103.85114919732294,125.71600716421453,81.66206003196933,41.47038390025922
5,5,Pringles,placed,manifest_executed_unmodeled_fallback,,,True,129.38326357932544,758.6638002139521,-83.11595724719334,129.38326357932544,758.6638002139521,-38.18019993118928,58.766527158650895,55.899910427904054,89.87151463200811
6,6,Lays Chips,placed,manifest_executed_supported_stack,4,,True,252.77471598587198,762.8433916036739,-83.11595724719334,252.77471598587198,762.8433916036739,-66.39449805991708,164.64461543351533,115.13537660752537,33.44291837455252
