sample_index,timestamp_s,u_left_px,v_left_px,u_right_px,v_right_px,disparity_px,overhead_u_px,overhead_v_px,x_stereo_mm,y_stereo_mm,z_stereo_mm,x_robot_mm,y_robot_mm,z_robot_mm,z_ground_mm,model_pred_z_ground_mm,model_residual_mm
1,1779910218.6483946,471.5289001464844,191.2381591796875,424.12628173828125,194.47332763671875,47.402618408203125,1009.8941040039062,95.19583129882812,177.44088694248683,-68.74023704297467,-563.735586510432,393.38533852314356,131.78587111376697,59.482318952379565,-40.517681047620435,-41.01851204179284,0.5008309941724036
2,1779910222.9411118,509.036865234375,264.37188720703125,457.0459899902344,268.76495361328125,51.990875244140625,987.414306640625,251.087890625,197.70198211558738,14.772263599537382,-495.3496259137941,277.26468509462137,152.0240777823911,55.987695915510365,-44.012304084489635,-43.734505127336575,-0.2777989571530597
3,1779910224.295106,551.1114501953125,349.4208984375,496.37786865234375,357.4855041503906,54.73358154296875,971.346923828125,399.9840087890625,221.70778745745025,95.30198697462511,-431.90011072810915,165.18829400982946,166.58088252975602,50.81277884730743,-49.18722115269257,-49.3659122797142,0.17869112702162937
4,1779910226.1409426,426.8108825683594,361.1551818847656,359.43408203125,367.05401611328125,67.37680053710938,798.1832885742188,353.0406494140625,93.12610993803796,97.10657171647856,-422.4203719865111,208.89845938264028,293.5100858079147,54.33593275327575,-45.66406724672425,-44.79748541626146,-0.8665818304627919
5,1779910227.74061,395.41741943359375,270.9828796386719,334.9170837402344,275.36688232421875,60.500335693359375,816.7699584960938,212.25076293945312,73.34333554527284,20.41001229254722,-485.01969549454583,315.8734462373295,276.11041377023173,57.678463551226734,-42.321536448773266,-42.4596101679627,0.13807371918943545
6,1779910230.671971,386.8454895019531,184.93753051757812,336.08819580078125,188.75123596191406,50.757293701171875,876.5966796875,47.78681564331055,76.892782333523,-74.76437496587073,-570.5325701672962,442.6688252824373,225.38396455595142,56.42644114275571,-43.57355885724429,-42.88824814027836,-0.6853107169659296
7,1779910232.2822862,276.2873840332031,194.47010803222656,224.7017822265625,199.03805541992188,51.585601806640625,,,-48.6347907250229,-62.06438921061165,-558.282148068533,475.2205142900325,352.95434328227304,54.8384897398866,-45.1615102601134,-44.23106995431239,-0.9304403058010138
8,1779910234.6209974,274.57989501953125,206.4384765625,221.48464965820312,211.21975708007812,53.095245361328125,695.597900390625,45.54834747314453,-49.065565594071245,-47.09724129362378,-542.8328581872443,453.8775337409383,361.3303699157462,56.555095441785554,-43.444904558214446,-43.3294724857897,-0.11543207242474551
9,1779910239.6408753,328.03955078125,198.29994201660156,274.75634765625,202.42926025390625,53.283203125,776.657958984375,50.06737518310547,8.938015397280108,-56.9623732087213,-551.5803049544928,443.8797430900426,300.52778749721494,57.615662033336534,-42.384337966663466,-43.3306951157929,0.9463571491294331
10,1779910240.866143,338.0290832519531,269.333251953125,276.7319641113281,273.2830505371094,61.297119140625,743.0185546875,187.42625427246094,17.35496896145253,18.53763384786403,-483.4078014362023,338.5733204971838,330.0248353124722,59.07898813559445,-40.92101186440555,-41.57046331705149,0.6494514526459412
11,1779910241.9831598,372.74163818359375,366.75372314453125,302.66552734375,371.2956848144531,70.07611083984375,732.0643310546875,339.1971740722656,44.619382391808735,98.97964340790209,-414.9609692329396,221.88202830107662,342.7188731390393,57.813201567118796,-42.186798432881204,-42.89466020729242,0.7078617744112137
12,1779910243.9572005,225.44021606445312,294.87457275390625,165.7213134765625,297.5350646972656,59.718902587890625,593.7987060546875,184.11732482910156,-87.1455267583718,41.50995182708985,-458.04582951017306,346.2503307292096,443.4372635362853,60.97842403049802,-39.02157596950198,-38.604696346914665,-0.4168796225873166
13,1779910245.5466998,284.04119873046875,398.8127136230469,213.24862670898438,400.072509765625,70.79257202148438,619.6558837890625,348.17205810546875,-28.99448058184024,120.97835850265346,-393.6276852084182,220.64247231757756,425.0431455123375,57.89893968250993,-42.10106031749007,-39.628232439995195,-2.472827877494872
14,1779910253.270345,228.26101684570312,402.98162841796875,159.78634643554688,402.40362548828125,68.47467041015625,,,-72.96833354534616,122.64118975140579,-382.3972344317806,229.42036324829724,470.80866611663583,64.46187255859249,-35.53812744140751,-37.17624472017123,1.6381172787637226
15,1779910255.3679762,228.23361206054688,402.9667053222656,159.7305908203125,402.44915771484375,68.50302124023438,558.6168212890625,335.96051025390625,-72.95275438017413,122.59435313578234,-382.19774921059366,229.3140350244933,470.83332167308765,64.64464442212228,-35.35535557787772,-37.17628619023324,1.8209306123555251
16,1779910259.179103,216.7999267578125,290.4041748046875,158.23048400878906,293.1648254394531,58.56944274902344,581.2164306640625,177.13848876953125,-96.19429470547831,37.82454205902062,-462.31072117473474,355.48011764709753,450.082233861699,60.03137361343866,-39.96862638656134,-38.532126716747015,-1.4364996698143244
17,1779910263.340828,205.2914276123047,225.5657501220703,153.52975463867188,230.065673828125,51.76167297363281,587.345947265625,55.49933624267578,-120.35201871296512,-25.6761747731615,-519.0366188389854,450.4704185076326,441.9004949527953,58.93785224988751,-41.06214775011249,-41.8405311042716,0.7783833541591108
18,1779910278.6957486,92.23277282714844,314.17724609375,43.94573211669922,314.4921875,48.28704071044922,407.5887451171875,168.05686950683594,-211.63554816279978,59.971076892976036,-428.5802185841142,362.49276623118396,576.0081507070892,68.61645745312036,-31.38354254687964,-32.92431629145595,1.5407737445763132
19,1779910288.7612233,70.26851654052734,376.24798583984375,20.468486785888672,372.97119140625,49.80002975463867,368.52362060546875,257.56640625,-214.24041688248423,109.21953145360068,-380.1131619595067,294.33977769034186,604.0968080080637,72.44714534187786,-27.552854658122143,-29.256062047903026,1.7032073897808822
20,1779910298.849015,70.34746551513672,376.22540283203125,21.18365478515625,372.51318359375,49.16381072998047,368.6590576171875,257.3729248046875,-217.2328285486116,110.49994624959265,-385.5901352340424,298.28936963836827,605.8914060783698,67.38367540711546,-32.61632459288454,-29.215417049382943,-3.400907543501596
