sample_index,timestamp_s,u_left_px,v_left_px,u_right_px,v_right_px,disparity_px,overhead_u_px,overhead_v_px,x_stereo_mm,y_stereo_mm,z_stereo_mm,x_robot_mm,y_robot_mm,z_robot_mm,z_ground_mm,model_pred_z_ground_mm,model_residual_mm
1,1779487993.3049085,305.830078125,330.1046142578125,255.728515625,334.6541748046875,50.1015625,1000.2573852539062,669.160400390625,-16.390998232062092,93.96635556315782,-580.565923437146,60.39729591958668,130.30898026864963,-103.12178678290311,-203.12178678290311,-200.21421242866603,-2.9075743542370844
2,1779487998.086678,428.387451171875,325.1229248046875,379.2376708984375,331.22686767578125,49.1497802734375,992.7721557617188,486.004638671875,127.7993449182135,89.16631918844683,-577.3912962651773,222.19991381782359,132.1788051104227,-102.24923184715216,-202.24923184715215,-202.7059469493728,0.4567151022206417
3,1779488000.901436,552.5416259765625,325.56201171875,512.4928588867188,332.85601806640625,40.04876708984375,998.3015747070312,273.98956298828125,295.8034974541582,96.42263996973554,-576.4797557253949,409.9357423568979,120.16717873747524,-98.6393622220625,-198.63936222206252,-199.89151429250617,1.2521520704436568
4,1779488003.8626137,585.0595703125,233.90985107421875,544.7383422851562,238.14801025390625,40.32122802734375,841.3253173828125,252.46446228027344,312.7713364578069,-18.804480476030072,-523.2236495805134,434.20502552023055,258.97626249193166,-93.32203708408295,-193.32203708408295,-190.3769274273722,-2.9451096567107413
5,1779488006.4397285,499.66998291015625,222.5155792236328,450.20843505859375,226.6876220703125,49.4615478515625,827.3782348632812,397.71929931640625,197.7162588056169,-30.002850719966574,-523.7284361897885,306.099507438662,273.55545834206384,-98.29841315445161,-198.29841315445162,-197.16708876422996,-1.131324390221664
6,1779488008.7763402,399.4664306640625,221.46133422851562,344.5854187011719,226.15853881835938,54.881011962890625,829.140869140625,540.951171875,84.65210001997944,-30.044590119528717,-530.076790267871,179.76240006724376,274.29193074525244,-104.49332835309421,-204.49332835309423,-201.5873348931698,-2.9059934599244173
7,1779488011.353837,304.7051696777344,231.20852661132812,249.60409545898438,236.26907348632812,55.10107421875,844.90869140625,667.0117797851562,-16.090926204699503,-19.44622576234459,-532.7701177846691,66.19790221756435,265.4527652279324,-102.53092245830176,-202.53092245830175,-202.7545550097712,0.22363255146944994
8,1779488014.1676059,333.2954406738281,129.92530822753906,274.8133850097656,135.297607421875,58.4820556640625,708.8575439453125,629.1664428710938,13.496588434387682,-119.76017636175244,-492.8175696379426,104.35094383548258,383.11320594603296,-104.42493334715627,-204.42493334715627,-204.28596494845198,-0.1389683987042929
9,1779488020.9333327,461.90863037109375,158.10873413085938,407.39410400390625,161.3963165283203,54.5145263671875,741.9379272460938,461.67425537109375,146.4940586316711,-94.28172694657425,-494.8766820859595,251.6590850337666,352.4510712054631,-96.06564461158496,-196.06564461158496,-198.01107585447386,1.9454312428889011
10,1779488027.4316561,576.9620361328125,187.76683044433594,533.9083251953125,190.575927734375,43.0537109375,772.72265625,280.8454895019531,287.4486059554535,-69.1162062977592,-496.44042944415213,407.87910548646755,322.0774309661998,-87.35430632846031,-187.35430632846032,-188.79864189429236,1.4443355658320343
11,1779488039.2240944,568.8740234375,261.29608154296875,527.4716796875,266.6573486328125,41.40234375,886.830810546875,271.78570556640625,295.9611620300029,13.650055325908557,-536.2325987621986,413.7528370514704,221.0920897028973,-92.77742779844324,-192.77742779844323,-193.8653140170082,1.087886218564961
12,1779488063.3049037,426.89605712890625,412.6054382324219,383.76971435546875,419.7328796386719,43.1263427734375,1169.967041015625,466.0454406738281,144.04735595676527,220.24054690618783,-636.9599361029964,234.3803548528779,-26.359139369749926,-107.35208166942225,-207.35208166942226,-206.49590759460585,-0.8561740748164084
13,1779488073.3703563,267.4038391113281,346.57269287109375,218.93882751464844,350.2286376953125,48.46501159667969,,,-61.825228898110545,114.61911042984943,-583.3915933052538,8.086814719288029,109.57518847416218,-97.17818482727965,-197.17818482727967,-197.74520800599717,0.5670231787175055
14,1779488076.566862,267.39208984375,346.6313171386719,218.8955535888672,350.2682800292969,48.49653625488281,,,-61.79826986807576,114.60284023358271,-582.9969349522734,8.092688778447652,109.75934336752137,-96.78554971248869,-196.7855497124887,-197.7504100310233,0.964860318534619
15,1779488077.5447514,267.2340087890625,346.26904296875,219.02996826171875,350.1734924316406,48.20404052734375,,,-62.352964708305166,115.00740108084476,-586.4913330642097,7.666765452339149,107.87474546509442,-100.15154954370394,-200.15154954370394,-197.68023570491928,-2.4713138387846527
16,1779488078.4046721,267.436279296875,346.5497131347656,218.95968627929688,350.2206726074219,48.476593017578125,,,-61.7733895296958,114.57539447177572,-583.268190720341,8.140232519347407,109.67054579956552,-97.07179047621224,-197.07179047621224,-197.75021700347742,0.6784265272651737
17,1779488084.5336192,321.23187255859375,327.9957275390625,270.46881103515625,332.85736083984375,50.7630615234375,996.39208984375,646.74853515625,1.4926662986647046,90.81491271079537,-576.2894521305634,80.40671339904114,134.78482881119328,-100.15994696335883,-200.15994696335883,-200.85641060706007,0.6964636437012359
18,1779488086.998203,321.2100830078125,328.0684814453125,270.42193603515625,332.9305419921875,50.78814697265625,996.7529907226562,646.3558349609375,1.4668401511294782,90.8550517479962,-575.9935099292226,80.35555123810306,134.8713526242128,-99.84336211059214,-199.84336211059212,-200.85610441954327,1.0127423089511467
19,1779488087.7359126,321.2403869628906,327.98681640625,270.4857177734375,332.8396911621094,50.754669189453125,996.825927734375,646.4105834960938,1.5027720421591313,90.81431276231078,-576.3869875463903,80.42440887752782,134.74348728805933,-100.25896686043346,-200.25896686043347,-200.856378635637,0.5974117752035113
20,1779488088.1044836,321.2174072265625,328.0374755859375,270.43463134765625,332.9029541015625,50.78277587890625,996.3917236328125,646.695068359375,1.4754029349186817,90.83069216038129,-576.0593910389224,80.37125918699068,134.86761176564372,-99.92034514270901,-199.920345142709,-200.856475036121,0.9361298934119873
21,1779488089.8335743,321.202880859375,328.0715637207031,270.4131774902344,332.9447937011719,50.789703369140625,996.414794921875,646.7395629882812,1.4584330958668064,90.86238461716474,-575.9741443952615,80.34431781816542,134.87245513168108,-99.82064751572062,-199.82064751572062,-200.85582027947854,1.0351727637579131
22,1779488090.0736487,321.2359619140625,327.9837341308594,270.4620361328125,332.84539794921875,50.77392578125,996.3890991210938,646.6779174804688,1.4970306490957195,90.78197548724206,-576.1695719569877,80.406323437127,134.86920640039273,-100.05247121490635,-200.05247121490635,-200.85742280355473,0.8049515886483789
23,1779488090.1993477,321.21240234375,328.05657958984375,270.4396057128906,332.9188232421875,50.772796630859375,996.400634765625,646.708251953125,1.469940707928588,90.86841500968119,-576.1682446299341,80.36934247986679,134.7831333233659,-100.0146383016733,-200.0146383016733,-200.8553998603595,0.8407615586862107
24,1779488090.4408536,321.1919250488281,328.0552978515625,270.4418029785156,332.92169189453125,50.7501220703125,996.42919921875,646.7217407226562,1.4469560132419186,90.90907145012862,-576.420913567971,80.35688091625737,134.6348103595223,-100.25325489101226,-200.25325489101226,-200.85327122056484,0.6000163295525738
25,1779488090.5676012,321.00494384765625,328.1432189941406,270.4787292480469,332.82757568359375,50.526214599609375,996.44482421875,646.8027954101562,1.2377901170297996,91.29692915204996,-578.9211907691367,80.25515046843829,133.18116160537517,-102.62061060907516,-202.62061060907516,-200.83295614462205,-1.7876544644531123
