sample_index,timestamp_s,u_left_px,v_left_px,u_right_px,v_right_px,disparity_px,overhead_u_px,overhead_v_px,x_stereo_mm,y_stereo_mm,z_stereo_mm,x_robot_mm,y_robot_mm,z_robot_mm,z_ground_mm,model_pred_z_ground_mm,model_residual_mm
1,1779910904.3355165,429.1053161621094,191.5208740234375,379.24420166015625,194.84544372558594,49.861114501953125,938.790283203125,77.27692413330078,125.54711396321828,-67.37208061045985,-564.6448192141785,413.75135898581664,181.9468667997157,56.88775260545864,-43.11224739454136,-44.67472417954437,1.5624767850030068
2,1779910908.502747,468.97625732421875,250.32232666015625,415.2777404785156,254.52304077148438,53.698516845703125,939.6259765625,207.57408142089844,156.57591418207514,0.22361867004228766,-510.0210169513151,314.4007058534571,184.03177896837792,53.7868100274272,-46.2131899725728,-45.806894174244135,-0.4062957983286637
3,1779910911.3240786,528.4710083007812,340.19482421875,472.12713623046875,347.5655212402344,56.3438720703125,946.4237060546875,373.90960693359375,199.81145745433693,86.41354218356915,-441.3074455973025,186.88406090812867,182.90616015080616,49.19341253947586,-50.80658746052414,-49.6275534151682,-1.179034045355941
4,1779910914.5245118,410.4996337890625,377.6136779785156,341.0895080566406,383.0997009277344,69.41012573242188,770.4927978515625,366.10211181640625,77.03704054079914,108.79123244687683,-411.94790127695023,199.61266860698424,314.8246595851581,54.170553734625585,-45.829446265374415,-46.87915031674852,1.049704051374107
5,1779910918.8256724,355.1934814453125,271.31744384765625,294.39129638671875,275.10284423828125,60.80218505859375,765.645751953125,196.78460693359375,34.17184532873051,20.521495790847478,-487.52006412921855,333.15391645268227,313.25899996255623,54.9595204377246,-45.0404795622754,-44.612962307995055,-0.42751725428034604
6,1779910921.0232077,329.75946044921875,195.2725372314453,277.24139404296875,199.58602905273438,52.51806640625,781.824462890625,46.682350158691406,10.988586040409443,-61.05990813019632,-559.2841138870464,451.2965197844756,295.4657007780114,54.54894335329018,-45.45105664670982,-45.10184949208089,-0.34920715462893526
7,1779910929.627948,260.05084228515625,408.0606689453125,189.7055206298828,408.2689208984375,70.34532165527344,592.0929565429688,351.2777099609375,-47.79162390757756,126.9741979890367,-385.52553824761725,218.25236880533072,446.855841130746,59.68073375593366,-40.31926624406634,-42.05828546379727,1.7390192197309275
8,1779910934.903633,233.83924865722656,309.8724060058594,172.6636199951172,312.2070007324219,61.175628662109375,595.7688598632812,212.3376007080078,-78.03135606487558,54.43454861466162,-450.11129922256896,327.67657509152275,440.1142364254649,58.543774071663016,-41.456225928336984,-41.63921480138253,0.18298887304554512
9,1779910939.3331046,220.3671417236328,226.3455047607422,168.11248779296875,230.7757568359375,52.25465393066406,,,-105.12548134744989,-25.011517405146662,-524.6479427870563,447.6765210887722,425.9306856229036,54.53181489669673,-45.46818510330327,-43.449419979259595,-2.018765124043675
10,1779910951.111462,55.06658935546875,260.97125244140625,15.424346923828125,263.7880859375,39.642242431640625,348.6690979003906,55.244651794433594,-280.4484600370929,11.697536241552,-475.89131392638234,457.7199327550321,617.3412756371104,63.64576256674241,-36.35423743325759,-37.44885342370385,1.0946159904462647
11,1779910959.2251265,61.33478927612305,337.02239990234375,15.825221061706543,335.9278564453125,45.50956726074219,358.5788269042969,195.09213256835938,-239.07009713003038,81.03198919623433,-412.42823016050306,346.9696627332133,612.2073941790641,66.28331781066629,-33.71668218933371,-34.5470685073063,0.8303863179725894
12,1779910982.90806,71.78138732910156,417.71734619140625,20.12989044189453,411.5370788574219,51.65149688720703,365.17462158203125,315.58154296875,-207.63438290366304,141.19139352742204,-362.83041025825526,256.3557824899715,610.6353602890376,64.34194772090726,-35.65805227909274,-33.579680418158304,-2.078371860934439
