run_timestamp,folder,datetime,date,script,place_scene,sequence_index,object_i,class_name,detection_class,detection_confidence,detection_bbox_x1,detection_bbox_y1,detection_bbox_x2,detection_bbox_y2,pick_x_mm,pick_y_mm,pick_z_mm,pick_grasp_z_mm,grasp_offset_mm,pick_phi_deg,place_x_mm,place_y_mm,place_phi_deg,destination_surface_z_mm,place_result,raw_size_x_mm,raw_size_y_mm,raw_size_z_mm,placed_box_label,watchdog_flags
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Lays Chips,Lays Chips,0.97412109375,145.375,101.125,358.75,282.25,231.38405147578686,348.73260987195965,-2.42778339682134,127.57221660317866,130.0,91.11125952970745,178.1983824094207,754.4426391997439,0.0,-200.0,placed,176.3967648188414,128.88527839948785,23.67064811733198,object1_placed,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,2,Bandaid,Bandaid,0.953125,285.75,128.75,418.5,224.125,180.57361482582442,235.111686539857,-11.123630543193354,118.87636945680664,130.0,143.11861209604896,178.1983824094207,754.4426391997439,0.0,-200.0,placed,123.6490462081004,129.23550274479967,36.374729621388155,object2_placed,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,3,Pringles,Pringles,0.98828125,143.0,172.625,276.5,275.5,202.79475771227402,407.80274408827563,13.96039970406999,143.96039970407,130.0,123.3290052972954,178.1983824094207,754.4426391997439,0.0,-163.62527037861184,placed,101.75585737688809,92.92460941009006,35.99349951352561,,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,4,Burts Bees,Burts Bees,0.98193359375,313.0,140.0,403.5,213.25,190.6900814216056,223.50777156294174,-38.46730837989925,91.53269162010075,130.0,5.310479638761649,288.84674885965075,740.437169269731,90.0,-127.63177086508624,placed,62.30650171930154,80.87433853946206,18.281804080620304,,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,5,Dove Deodorant,Dove Deodorant,0.89892578125,157.125,166.25,266.75,280.0,224.144116593128,403.26800925961226,-34.21794531742997,95.78205468257002,130.0,86.74771530411539,178.1983824094207,754.4426391997439,0.0,-127.63177086508624,placed,127.90241712310888,56.194034960486135,12.837516140945887,,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,6,Carmex Lip Balm,Carmex Lip Balm,0.92724609375,347.0,150.125,454.5,218.875,147.64674927244317,188.60265217695505,-28.602280194898313,101.39771980510169,130.0,178.1889264640706,288.84674885965075,740.437169269731,90.0,-109.34996678446593,placed,70.4436924173222,103.2730618362061,6.249521236265494,,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,1,Pringles,Pringles,0.9833984375,244.0,153.25,325.5,278.25,149.75095996783637,347.55235010571744,55.05270129467687,185.05270129467687,130.0,3.037632440243243,288.83047378673876,726.3978530147425,180.0,-200.0,placed,72.79570602948498,62.33905157347755,90.81369563695989,object1_placed,
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,2,Burts Bees,Burts Bees,0.9755859375,304.0,120.375,385.5,179.0,240.65186512471385,207.74793560127586,-39.20169379957795,90.79830620042205,130.0,93.36677288635424,142.11070144819013,731.7828606632648,0.0,-200.0,placed,84.22140289638025,63.5657213265296,14.823884235040296,object2_placed,
20260531_151504,run_20260531_151504,2026-05-31T15:15:04,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Bandaid,Bandaid,0.92236328125,186.125,159.5,345.0,314.5,163.472585278729,361.6436161620829,-9.476745367980525,120.52325463201947,130.0,95.4616423346596,267.3730296672052,751.4853653230184,180.0,-200.0,placed,127.97073064603686,90.25394133441027,25.325197999970392,object1_placed,
20260531_152413,run_20260531_152413,2026-05-31T15:24:13,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Lays Chips,Lays Chips,0.9736328125,97.875,152.25,360.25,368.75,161.40663678850413,400.60908636773956,4.299939627281932,134.29993962728193,130.0,97.58876748677758,180.76512503048824,756.0399669394358,0.0,-200.0,placed,166.53025006097647,117.07993387887154,28.37508054433399,object1_placed,
