camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,u_px,v_px,red,green,blue,color_source
-34.18283462524414,-198.80581665039062,-624.72412109375,323.045871576584,242.58117671160127,-15.669561735672914,304.00000093049727,109.00000697753947,0.8470588326454163,0.7843137383460999,0.6392157077789307,calibrated_uv_reprojection_plus_stereo_left
-39.5338249206543,-197.7351531982422,-625.6665649414062,325.72093510900413,247.4054510083619,-17.115787056374984,299.9999998714892,109.9999994040767,0.9882352948188782,0.7450980544090271,0.5882353186607361,calibrated_uv_reprojection_plus_stereo_left
-38.17935562133789,-197.58590698242188,-625.1593017578125,324.6245170888171,246.43441251608039,-16.744947177266,300.99999803896765,109.99999740905284,0.9960784316062927,0.8588235378265381,0.6941176652908325,calibrated_uv_reprojection_plus_stereo_left
-36.85017013549805,-197.56178283691406,-625.0479736328125,323.7975827783474,245.3207218112598,-16.635547544413896,302.000000133568,110.00000047005429,0.9882352948188782,0.8705882430076599,0.7019608020782471,calibrated_uv_reprojection_plus_stereo_left
-35.5278434753418,-197.57427978515625,-625.052490234375,323.04919492420123,244.16481973814192,-16.60262285493411,302.9999999212429,109.99999918135885,0.9921568632125854,0.8705882430076599,0.6705882549285889,calibrated_uv_reprojection_plus_stereo_left
-32.846927642822266,-197.38531494140625,-624.3847045898438,321.09570140122435,242.10294644371382,-16.090058935571392,304.9999994822111,109.99999889769006,0.9529411792755127,0.8352941274642944,0.686274528503418,calibrated_uv_reprojection_plus_stereo_left
-31.616552352905273,-197.9687042236328,-626.195068359375,321.5631576430787,240.2760111999612,-17.248910722696962,306.0000002129769,110.00000629718588,0.8274509906768799,0.7215686440467834,0.5921568870544434,calibrated_uv_reprojection_plus_stereo_left
-42.14583206176758,-196.2072296142578,-625.0928344726562,325.86269556478965,250.47021626788938,-17.489257036472395,297.99999821858444,110.9999989528765,0.6823529601097107,0.4431372582912445,0.26274511218070984,calibrated_uv_reprojection_plus_stereo_left
-39.48299789428711,-196.13548278808594,-624.79443359375,324.1578094869618,248.27026916961694,-17.220226277187805,299.9999995705953,110.99999733428731,0.9647058844566345,0.658823549747467,0.45098039507865906,calibrated_uv_reprojection_plus_stereo_left
-38.141136169433594,-196.04257202148438,-624.463623046875,323.18268019110997,247.23658402188258,-16.965635999349956,300.99999979092104,111.00000993438135,0.9411764740943909,0.6901960968971252,0.45490196347236633,calibrated_uv_reprojection_plus_stereo_left
