camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,u_px,v_px,red,green,blue,color_source
-215.0226593017578,-122.78253173828125,-582.6165161132812,353.7328147876744,443.1675010568948,-24.278046621248052,154.00000005609934,158.99999734338508,0.7215686440467834,0.6117647290229797,0.5372549295425415,calibrated_uv_reprojection_plus_stereo_left
-210.74916076660156,-121.71881866455078,-577.5162353515625,348.3966370493578,441.3472390022875,-20.53851936342619,156.00000351487466,158.99999705333644,0.8352941274642944,0.7372549176216125,0.6549019813537598,calibrated_uv_reprojection_plus_stereo_left
-227.40391540527344,-121.03215789794922,-580.3740844726562,358.6344829117661,455.292401364744,-23.618677726718204,142.9999977560551,160.00000368280735,0.3921568691730499,0.2980392277240753,0.25882354378700256,calibrated_uv_reprojection_plus_stereo_left
-226.67140197753906,-121.2874984741211,-581.5720825195312,358.89473957911076,454.20837783766865,-24.45455893407268,143.99999577057676,160.00000256122107,0.45098039507865906,0.3019607961177826,0.24313725531101227,calibrated_uv_reprojection_plus_stereo_left
-225.32232666015625,-121.21394348144531,-581.1929931640625,357.9097960495838,453.17421385779926,-24.150213801440827,145.00000227252147,160.00000216114236,0.501960813999176,0.3607843220233917,0.3019607961177826,calibrated_uv_reprojection_plus_stereo_left
-222.26588439941406,-121.5304183959961,-582.6309814453125,356.9791396581573,449.9763535115549,-25.09866896848291,147.99999647333934,159.9999943636341,0.6352941393852234,0.5254902243614197,0.4745098054409027,calibrated_uv_reprojection_plus_stereo_left
-220.77330017089844,-121.3778305053711,-581.873046875,355.69769919190645,448.9581765924981,-24.520539193700074,148.99999858711698,159.99999830219127,0.615686297416687,0.5215686559677124,0.4745098054409027,calibrated_uv_reprojection_plus_stereo_left
-218.7928009033203,-120.95387268066406,-579.8142700195312,353.4009667702404,447.99910992714183,-23.00242199990413,149.99999896234985,159.9999943116926,0.6705882549285889,0.5607843399047852,0.5098039507865906,calibrated_uv_reprojection_plus_stereo_left
-216.9251251220703,-120.58795166015625,-578.033935546875,351.32633547243876,447.0347011941832,-21.685723969485252,151.0000071185244,160.00000099634354,0.800000011920929,0.6745098233222961,0.6196078658103943,calibrated_uv_reprojection_plus_stereo_left
-216.2626953125,-120.89171600341797,-579.4636840820312,351.75785632417984,445.9254758150619,-22.688642965059046,152.00000115895696,160.00000053339014,0.8901960849761963,0.7607843279838562,0.6901960968971252,calibrated_uv_reprojection_plus_stereo_left
-213.77151489257812,-120.8503189086914,-579.212646484375,350.19334822456506,443.84870072410394,-22.446837472910545,154.00000351242284,160.0000073840506,0.8705882430076599,0.7333333492279053,0.6078431606292725,calibrated_uv_reprojection_plus_stereo_left
