manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Pringles,placed,manifest_executed_floor,,,True,130.32485154845853,782.1918754279884,-155.0,130.32485154845853,782.1918754279884,-106.7633960414039,60.649703096917015,55.6162488559769,96.47320791719223
2,2,Pringles,placed,manifest_executed_floor,,,True,190.86512614937448,761.8923138120722,-155.0,190.86512614937448,761.8923138120722,-106.89896698109482,60.430846298748975,55.01712562414428,96.20206603781037
3,3,Chex Mix,placed,manifest_executed_supported_stack,2,,True,251.14931932751995,756.5022672794624,-58.79793396218963,251.14931932751995,756.5022672794624,-47.05174688982173,136.9954645589249,100.13754065503988,23.492374144735813
4,4,Bandaid,placed,manifest_executed_supported_stack,3,,True,244.30958083808923,756.6387186148918,-35.305559817453826,244.30958083808923,756.6387186148918,-19.301984862011995,126.72256322978366,86.45806367617851,32.00714991088366
5,5,Burts Bees,pending,not_placed:pending,,,,,,,,,,,,
