manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Pringles,placed,manifest_executed_floor,,,True,130.31678552890935,781.6616978995477,-155.0,130.31678552890935,781.6616978995477,-109.73287939066071,60.633571057818735,56.67660379909535,90.53424121867857
2,2,Bandaid,placed,manifest_executed_floor,,,True,225.25070802727558,752.594728089155,-155.0,225.25070802727558,752.594728089155,-137.3483146915173,129.23427405455112,84.81054417831,35.303370616965445
3,3,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,2,1,True,225.25070802727558,752.594728089155,-119.69662938303456,225.25070802727558,752.594728089155,-107.92510829435223,138.29794479161666,96.82538693524452,23.54304217736466
4,4,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,3,1,True,225.25070802727558,752.594728089155,-96.1535872056699,225.25070802727558,752.594728089155,-80.17243179687169,133.3268653506554,90.36227237260128,31.962310817596393
5,5,Bandaid,placed,manifest_executed_supported_stack,4,,True,292.4940206787219,765.5666455035475,-64.19127638807349,292.4940206787219,765.5666455035475,-11.406583263781684,58.866709007095096,36.188681357443826,105.56938624858361
6,1,Pringles,placed,manifest_executed_floor_with_aabb_overlap,,2|3|4,True,131.2463480142114,726.7305632200535,-155.0,131.2463480142114,726.7305632200535,-106.02095447661445,62.49269602842282,53.46112644010692,97.9580910467711
7,2,Burts Bees,placed,manifest_executed_floor_with_aabb_overlap,,2,True,201.6460317167112,748.4738620939265,-155.0,201.6460317167112,748.4738620939265,-144.1008691367081,78.30667143342247,56.947724187853126,21.798261726583796
8,3,Chex Mix,placed,manifest_executed_supported_stack_with_aabb_overlap,7,2|3,True,264.83307457151653,747.8212275274598,-133.2017382734162,264.83307457151653,747.8212275274598,-120.565480021096,135.64245505491954,88.06741514303309,25.272516504640393
9,4,Dove Deodorant,placed,manifest_executed_supported_stack_with_aabb_overlap,7,1|2|3|8,True,156.70897418432324,781.7098121148965,-133.2017382734162,156.70897418432324,781.7098121148965,-125.46602149463946,113.41794836864649,49.524176229793184,15.471433557553468
10,5,Lays Chips,placed,manifest_executed_supported_stack_with_aabb_overlap_with_boundary_overflow,8,3|4,False,264.83307457151653,747.8212275274598,-107.92922176877579,264.83307457151653,747.8212275274598,-92.43932355929849,149.74930779256147,119.70600344512208,30.979796418954614
11,6,Bandaid,placed,manifest_executed_supported_stack_with_aabb_overlap,10,4|5,True,264.83307457151653,747.8212275274598,-76.94942534982118,264.83307457151653,747.8212275274598,-60.61281340480492,124.89120364858171,86.62525416686802,32.67322389003253
12,1,Pringles,placed,manifest_executed_floor_with_aabb_overlap,,1|3|4|9,True,130.47133657669133,781.5260314174618,-155.0,130.47133657669133,781.5260314174618,-108.43599811011998,60.94267315338264,56.94793683492361,93.12800377976005
13,2,Burts Bees,pending,not_placed:pending,,,,,,,,,,,,
