robot_x_mm,robot_y_mm,robot_z_mm,camera_x_mm,camera_y_mm,camera_z_mm
50.03069526502071,50.03078695123412,0.0,259.22304088992416,-98.2570449036818,-550.8606148238676
149.96550948889015,49.988727421504564,0.0,210.34670442185677,-170.83306673145213,-594.7982028890706
250.03061663439252,50.00197675208767,0.0,161.36098962517656,-243.47784156814583,-638.7756267548566
349.9687860932115,50.001233121506914,0.0,112.44894081313723,-316.0369935189602,-682.7016679155136
49.99596612800383,199.99613202123717,0.0,135.57460957177756,-28.15672009251349,-503.58041513153864
149.97932764176085,199.9757691119831,0.0,86.6566210279492,-100.75785075083714,-547.5325030033064
249.97537433738086,199.99273475161434,0.0,37.701641866869636,-173.35074860899184,-591.4784014632087
349.9777047248496,200.00472944695238,0.0,-11.252313543290654,-245.95053145942677,-635.4286284974903
50.00059176948406,349.96887772476094,0.0,11.90081411436205,41.91848982869149,-456.3151805630699
149.99427402257254,349.9894199811987,0.0,-37.05595719315511,-30.671020091906357,-500.2589125291019
250.02466631009887,350.01179720464177,0.0,-86.03220862761935,-103.28632541934655,-544.2182013194629
349.98059575593396,349.98123713010295,0.0,-134.9283622605376,-175.87230426659426,-588.1614458439219
149.98720896314092,499.9676683534134,0.0,-160.72856852730894,39.41524897169491,-452.98680525962527
250.00790167172016,500.00755894670294,0.0,-209.71451469676663,-33.18483053681012,-496.93631106517336
350.00521424057933,499.9811227899626,0.0,-258.63432313276996,-105.79892805561911,-540.8964449617241
50.03069526502071,50.03078695123412,50.00981739642647,261.19476994395296,-124.69388496525528,-506.6663213912999
149.96550948889015,49.988727421504564,50.00981739642647,212.31843347588557,-197.2699067930256,-550.6039094565027
250.03061663439252,50.00197675208767,50.00981739642647,163.33271867920533,-269.91468162971927,-594.5813333222887
349.9687860932115,50.001233121506914,50.00981739642647,114.420669867166,-342.47383358053366,-638.5073744829458
49.99596612800383,199.99613202123717,50.00981739642647,137.54633862580633,-54.59356015408696,-459.3861216989709
149.97932764176085,199.9757691119831,50.00981739642647,88.62835008197797,-127.19469081241061,-503.3382095707385
249.97537433738086,199.99273475161434,50.00981739642647,39.673370920898435,-199.7875886705653,-547.2841080306408
349.9777047248496,200.00472944695238,50.00981739642647,-9.280584489261855,-272.3873715210002,-591.2343350649226
50.00059176948406,349.96887772476094,50.00981739642647,13.872543168390848,15.481649767118029,-412.12088713050207
149.99427402257254,349.9894199811987,50.00981739642647,-35.08422813912631,-57.10786015347983,-456.0646190965341
250.02466631009887,350.01179720464177,50.00981739642647,-84.06047957359056,-129.72316548092002,-500.0239078868951
349.98059575593396,349.98123713010295,50.00981739642647,-132.9566332065088,-202.30914432816772,-543.9671524113542
149.98720896314092,499.9676683534134,50.00981739642647,-158.75683947328014,12.978408910121445,-408.79251182705747
250.00790167172016,500.00755894670294,50.00981739642647,-207.74278564273789,-59.62167059838359,-452.74201763260555
350.00521424057933,499.9811227899626,50.00981739642647,-256.6625940787412,-132.23576811719258,-496.70215152915625
50.03069526502071,50.03078695123412,149.99018260357354,265.13667977634975,-177.54680588929614,-418.3124375441718
149.96550948889015,49.988727421504564,149.99018260357354,216.2603433082823,-250.12282771706646,-462.2500256093747
250.03061663439252,50.00197675208767,149.99018260357354,167.27462851160212,-322.7676025537602,-506.22744947516065
349.9687860932115,50.001233121506914,149.99018260357354,118.36257969956279,-395.3267545045745,-550.1534906358177
49.99596612800383,199.99613202123717,149.99018260357354,141.48824845820312,-107.44648107812783,-371.03223785184275
149.97932764176085,199.9757691119831,149.99018260357354,92.57025991437476,-180.04761173645147,-414.9843257236105
249.97537433738086,199.99273475161434,149.99018260357354,43.61528075329517,-252.64050959460616,-458.93022418351273
50.00059176948406,349.96887772476094,149.99018260357354,17.81445300078758,-37.37127115692285,-323.767003283374
149.99427402257254,349.9894199811987,149.99018260357354,-31.142318306729578,-109.9607810775207,-367.71073524940596
250.02466631009887,350.01179720464177,149.99018260357354,-80.11856974119382,-182.5760864049609,-411.670024039767
149.98720896314092,499.9676683534134,149.99018260357354,-154.8149296408834,-39.874512013919436,-320.4386279799294
250.00790167172016,500.00755894670294,149.99018260357354,-203.80087581034104,-112.47459152242446,-364.38813378547746
