camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,u_px,v_px,red,green,blue,color_source
-212.51620483398438,-115.02889251708984,-557.0609741210938,336.07351265754204,451.48175736728007,-7.217867911709504,148.0000130058777,161.00000747545158,0.9686274528503418,0.9725490212440491,0.9450980424880981,calibrated_uv_reprojection_plus_stereo_left
-216.20401000976562,-113.96558380126953,-557.6476440429688,337.65225559754475,454.9587809527852,-8.330152151901586,144.99999953173102,162.00000232878915,0.9960784316062927,1.0,0.9725490212440491,calibrated_uv_reprojection_plus_stereo_left
-212.21510314941406,-113.697021484375,-556.2587280273438,334.5920948954604,451.99856873346374,-7.236402631284307,148.0000084258558,162.0000001439296,0.9921568632125854,0.9960784316062927,0.9725490212440491,calibrated_uv_reprojection_plus_stereo_left
-211.15631103515625,-113.75150299072266,-556.5003051757812,334.1235305109521,450.9867671204908,-7.3826044709210805,148.99998820096553,161.99999564245297,0.9843137264251709,0.9843137264251709,0.9686274528503418,calibrated_uv_reprojection_plus_stereo_left
-210.30609130859375,-113.91960906982422,-557.2977905273438,334.08716159092614,449.95072827265005,-7.931710685268456,150.00000097419544,162.00000514448095,0.9450980424880981,0.9450980424880981,0.929411768913269,calibrated_uv_reprojection_plus_stereo_left
-209.5643310546875,-114.1487045288086,-558.3934936523438,334.28070090305835,448.89869160649965,-8.69685904408891,151.0000044786067,162.0000049192034,0.8235294222831726,0.8235294222831726,0.8117647171020508,calibrated_uv_reprojection_plus_stereo_left
-217.26852416992188,-112.74335479736328,-557.40869140625,337.267652115901,456.4566715544625,-8.786139101892559,143.99999588863943,162.99999477812054,1.0,0.8901960849761963,0.9058823585510254,calibrated_uv_reprojection_plus_stereo_left
-214.8365020751953,-112.68650817871094,-557.078125,335.6930171729689,454.4603935542289,-8.488313246725511,146.00001068279846,163.0000067596937,0.9960784316062927,0.9921568632125854,0.9725490212440491,calibrated_uv_reprojection_plus_stereo_left
-213.69248962402344,-112.69564819335938,-557.0984497070312,335.05108288983797,453.4563679061643,-8.47416896899864,146.99998677578927,162.99999551403312,0.9960784316062927,1.0,0.9725490212440491,calibrated_uv_reprojection_plus_stereo_left
-212.2037353515625,-112.52212524414062,-556.2159423828125,333.7051587354724,452.48571199892694,-7.804582707978227,148.0000004934252,163.00000304793207,0.9921568632125854,0.9960784316062927,0.9725490212440491,calibrated_uv_reprojection_plus_stereo_left
