manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Bandaid,placed,manifest_executed_floor,,,True,252.2806519886986,757.8760029726974,-155.0,252.2806519886986,757.8760029726974,-136.1411203064802,135.43869597739717,84.24799394539488,37.71775938703963
2,2,Chex Mix,placed,manifest_executed_floor_with_aabb_overlap,,1,True,252.2806519886986,757.8760029726974,-155.0,252.2806519886986,757.8760029726974,-146.25538477799836,136.7284368003777,95.37030358725669,17.48923044400331
3,3,Burts Bees,placed,manifest_executed_floor,,,True,137.30585827985746,743.7759635623793,-155.0,137.30585827985746,743.7759635623793,-147.1409896214198,74.6117165597149,56.047915124758596,15.718020757160403
4,4,Dove Deodorant,placed,manifest_executed_supported_stack,1,,True,252.2806519886986,757.8760029726974,-117.28224061296038,252.2806519886986,757.8760029726974,-108.16314215719154,54.69616187174205,48.20564295944114,18.238196911537656
5,5,Pringles,placed,manifest_executed_supported_stack,4,,True,252.2806519886986,757.8760029726974,-99.04404370142271,252.2806519886986,757.8760029726974,-47.66677473541202,62.52147146547162,52.16114274619938,102.75453793202138
