manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Chex Mix,placed,manifest_executed_floor,,,True,255.3396664969273,756.632837857299,-155.0,255.3396664969273,756.632837857299,-145.6856665688528,139.32066699385456,96.734323714598,18.6286668622944
2,2,Burts Bees,placed,manifest_executed_floor,,,True,140.31162925791278,742.2557873114329,-155.0,140.31162925791278,742.2557873114329,-145.21557579725862,80.62325851582557,57.98022262286571,19.56884840548277
3,3,Pringles,placed,manifest_executed_supported_stack,2,,True,140.31162925791278,742.2557873114329,-135.43115159451725,140.31162925791278,742.2557873114329,-110.38890521128488,105.04425554622021,55.69466597033372,50.08449276646472
4,4,Dove Deodorant,placed,manifest_executed_supported_stack,3,,True,140.31162925791278,742.2557873114329,-85.34665882805251,140.31162925791278,742.2557873114329,-73.96947348806432,113.07108060852654,40.12656672877373,22.754370679976372
5,5,Bandaid,placed,manifest_executed_supported_stack,4,,True,140.31162925791278,742.2557873114329,-62.592288148076136,140.31162925791278,742.2557873114329,-45.32933947511876,118.09828694042994,85.64362396376441,34.52589734591476
6,6,Lays Chips,placed,manifest_executed_supported_stack_with_aabb_overlap,1,3|4,True,255.3396664969273,756.632837857299,-136.37133313770562,255.3396664969273,756.632837857299,-106.1159281196872,167.51812081428656,103.50065071743063,60.51081003603686
7,1,Chex Mix,placed,manifest_executed_floor_with_aabb_overlap,,1|2|3|6,True,173.12781021993698,754.291765865649,-155.0,173.12781021993698,754.291765865649,-144.50869201814965,146.25562043987395,91.41646773129798,20.982615963700685
8,1,Bandaid,placed,manifest_executed_floor_with_aabb_overlap,,1|2|3|6|7,True,160.12254203953887,755.4420291280111,-155.0,160.12254203953887,755.4420291280111,-140.60303671512483,120.24508407907776,90.88405825602217,28.79392656975032
9,2,Dove Deodorant,placed,manifest_executed_floor_with_aabb_overlap,,1|7|8,True,258.69462955671094,748.174852775973,-155.0,258.69462955671094,748.174852775973,-147.79373739074086,116.8990911134219,56.34970555194612,14.4125252185183
10,3,Pringles,placed,manifest_executed_supported_stack_with_aabb_overlap,8,3|4|5|6,True,160.12254203953887,755.4420291280111,-126.20607343024967,160.12254203953887,755.4420291280111,-73.73907212434825,58.19521033543554,56.13399997619082,104.93400261180284
11,4,Burts Bees,placed,manifest_executed_supported_stack,10,,True,160.12254203953887,755.4420291280111,-21.272070818446835,160.12254203953887,755.4420291280111,-9.508549877828642,79.58246516522395,58.562022614899455,23.527041881236386
12,5,Chex Mix,placed,manifest_executed_supported_stack,11,,True,160.12254203953887,755.4420291280111,2.2549710627895507,160.12254203953887,755.4420291280111,16.305852813627407,138.14283806068804,98.07832765294464,28.101763501675713
