camera_x_mm,camera_y_mm,camera_z_mm,robot_x_mm,robot_y_mm,robot_z_mm,u_px,v_px,red,green,blue,color_source
-49.93101501464844,16.511138916015625,-519.9160766601562,130.80342110481627,375.03200646489324,-40.5752590548434,284.9999982779059,274.00000027215464,0.6901960968971252,0.5490196347236633,0.38823530077934265,calibrated_uv_reprojection_plus_stereo_left
-47.09946823120117,16.300491333007812,-513.0057983398438,126.4856866346254,374.4559023647847,-34.72763970516695,286.99999843863316,273.9999996691312,0.7882353067398071,0.6117647290229797,0.43529412150382996,calibrated_uv_reprojection_plus_stereo_left
-41.89002990722656,15.985480308532715,-502.54864501953125,119.41804111847092,372.7819853638843,-25.859387419563916,290.9999994236017,274.0000003918195,0.8901960849761963,0.729411780834198,0.5098039507865906,calibrated_uv_reprojection_plus_stereo_left
-37.759742736816406,16.054468154907227,-504.1728515625,117.66430092765985,368.756578276034,-27.134250899017616,295.00000205851563,273.9999991757158,0.9333333373069763,0.7764706015586853,0.5647059082984924,calibrated_uv_reprojection_plus_stereo_left
-95.27593231201172,17.7188777923584,-528.4456176757812,159.47174136228375,412.5129296149414,-49.23622925756791,245.00000593337646,274.9999999981092,0.7058823704719543,0.5960784554481506,0.45098039507865906,calibrated_uv_reprojection_plus_stereo_left
-91.16732788085938,17.36821174621582,-517.7191162109375,152.95155852891435,411.8580913334906,-40.153624734675816,247.00000722982702,274.99999821395517,0.6784313917160034,0.572549045085907,0.42352941632270813,calibrated_uv_reprojection_plus_stereo_left
-88.50553894042969,17.282222747802734,-514.8890380859375,150.3203468099092,410.31650399961836,-37.72457662062493,249.0000003220864,275.00000030539456,0.6745098233222961,0.5607843399047852,0.43921568989753723,calibrated_uv_reprojection_plus_stereo_left
-85.10897064208984,17.491731643676758,-520.5914306640625,150.5645395786795,405.8229673434199,-42.43739216483516,252.9999963210234,275.0000003413774,0.7411764860153198,0.6078431606292725,0.46666666865348816,calibrated_uv_reprojection_plus_stereo_left
-83.45867919921875,17.614566802978516,-523.9759521484375,150.92058958601854,403.4731675854249,-45.24215061506891,254.9999975061355,274.9999994135516,0.729411780834198,0.5960784554481506,0.43921568989753723,calibrated_uv_reprojection_plus_stereo_left
-61.03683090209961,17.60518455505371,-520.9957275390625,136.82288077823313,384.8292561428402,-42.277661950752076,275.00000355605243,274.9999999143163,0.7137255072593689,0.5843137502670288,0.48235294222831726,calibrated_uv_reprojection_plus_stereo_left
-54.667137145996094,17.009693145751953,-502.853515625,126.12950151632232,384.22434109414337,-26.927854540270744,279.00000093117274,274.9999994873709,0.6784313917160034,0.5843137502670288,0.5058823823928833,calibrated_uv_reprojection_plus_stereo_left
-52.541259765625,17.017574310302734,-502.82684326171875,124.89181560053255,382.38724832495143,-26.861426068396213,280.99999932024883,274.999999320568,0.5098039507865906,0.42352941632270813,0.3294117748737335,calibrated_uv_reprojection_plus_stereo_left
-50.44485855102539,17.035552978515625,-503.0982971191406,123.78643667631759,380.4948597837485,-27.045679090932026,282.99999786676017,274.99999994583476,0.47843137383461,0.3921568691730499,0.27450981736183167,calibrated_uv_reprojection_plus_stereo_left
-48.18471908569336,16.996822357177734,-501.6955261230469,121.93907805946729,378.9145613438122,-25.82218779244306,285.0000001464024,274.999999831457,0.5333333611488342,0.40392157435417175,0.27450981736183167,calibrated_uv_reprojection_plus_stereo_left
-45.94734191894531,16.962308883666992,-500.41851806640625,120.15349502867689,377.31989691713864,-24.704659316002733,287.0000009969999,275.00000033557404,0.7490196228027344,0.5686274766921997,0.3686274588108063,calibrated_uv_reprojection_plus_stereo_left
-43.92927551269531,17.00873374938965,-501.52935791015625,119.41794537022771,375.2677799621022,-25.594617819344705,288.99999965674203,275.0000003930492,0.8627451062202454,0.6627451181411743,0.41960784792900085,calibrated_uv_reprojection_plus_stereo_left
-39.81092834472656,17.079355239868164,-503.09259033203125,117.64474846580411,371.2708280456325,-26.820521537527384,293.00000016874867,275.0000010986755,0.9058823585510254,0.7568627595901489,0.48627451062202454,calibrated_uv_reprojection_plus_stereo_left
-37.74169921875,17.11508560180664,-503.88525390625,116.75661711096434,369.2606313647183,-27.44253127891858,294.9999999859874,275.0000008441316,0.9490196108818054,0.772549033164978,0.529411792755127,calibrated_uv_reprojection_plus_stereo_left
-35.65631866455078,17.146615982055664,-504.5534362792969,115.81102218089445,367.2701885643514,-27.959790628880512,297.0000006563009,275.0000005229644,0.9607843160629272,0.8078431487083435,0.5921568870544434,calibrated_uv_reprojection_plus_stereo_left
-151.50405883789062,17.6510009765625,-502.3861389160156,181.08045565155481,468.7995989266247,-29.0861190104265,187.00000816134272,275.9999992292331,0.8509804010391235,0.7450980544090271,0.6509804129600525,calibrated_uv_reprojection_plus_stereo_left
-147.1079559326172,17.387475967407227,-494.6386413574219,175.55817380509745,467.0805988284065,-22.488064028406143,189.0000102845895,275.99999931443887,0.8666666746139526,0.7843137383460999,0.7098039388656616,calibrated_uv_reprojection_plus_stereo_left
-143.97450256347656,17.2674503326416,-490.9790344238281,172.3394050800926,465.35171096091085,-19.34954602489688,191.00000781253496,275.99999931958155,0.8823529481887817,0.8039215803146362,0.7411764860153198,calibrated_uv_reprojection_plus_stereo_left
-142.39129638671875,17.33236312866211,-492.578857421875,172.04142804619346,463.5456773740938,-20.660490306887084,192.9999953548409,276.00000019264735,0.9019607901573181,0.8352941274642944,0.7647058963775635,calibrated_uv_reprojection_plus_stereo_left
-140.25244140625,17.330400466918945,-492.27740478515625,170.6903399797721,461.77166380411586,-20.36305927941146,194.99999823273308,276.00000033025776,0.929411768913269,0.8666666746139526,0.800000011920929,calibrated_uv_reprojection_plus_stereo_left
-136.32664489746094,17.37056541442871,-492.92633056640625,168.67350364136945,458.1904651441155,-20.826889494322074,198.9999968263004,276.0000007611743,0.8980392217636108,0.8509804010391235,0.7803921699523926,calibrated_uv_reprojection_plus_stereo_left
-134.39468383789062,17.39531707763672,-493.3826599121094,167.7337379703514,456.3910505937921,-21.17019863143304,200.9999934109453,275.9999999644108,0.9058823585510254,0.8470588326454163,0.7686274647712708,calibrated_uv_reprojection_plus_stereo_left
-132.34280395507812,17.4049015045166,-493.408447265625,166.5589061164938,454.6040123345378,-21.149415743373368,203.00000178823421,276.0000004776331,0.8941176533699036,0.8078431487083435,0.7372549176216125,calibrated_uv_reprojection_plus_stereo_left
-130.31304931640625,17.417556762695312,-493.5211486816406,165.43032452022618,452.812668754689,-21.20208961005693,205.00000083524273,276.0000009434918,0.8901960849761963,0.8078431487083435,0.7215686440467834,calibrated_uv_reprojection_plus_stereo_left
-128.22535705566406,17.422555923461914,-493.4169006347656,164.18473285659303,451.0297199231174,-21.071348071804493,206.99999843121606,275.99999931904557,0.8784313797950745,0.7960784435272217,0.7137255072593689,calibrated_uv_reprojection_plus_stereo_left
-126.60568237304688,17.492183685302734,-495.1420593261719,163.91397302216473,449.15816026444054,-22.486806706199218,209.0000012212972,275.99999872987104,0.8666666746139526,0.7843137383460999,0.7019608020782471,calibrated_uv_reprojection_plus_stereo_left
-124.6463394165039,17.51625633239746,-495.5765075683594,162.94996779936338,447.34090817587014,-22.811172651342645,211.00000143501006,276.00000004034763,0.8705882430076599,0.7764706015586853,0.6941176652908325,calibrated_uv_reprojection_plus_stereo_left
-121.14543914794922,17.627098083496094,-498.216064453125,161.94516263602947,443.59009705889207,-24.955722004266306,215.0000060233547,275.99999878614227,0.7647058963775635,0.6627451181411743,0.545098066329956,calibrated_uv_reprojection_plus_stereo_left
-102.8763427734375,18.172950744628906,-511.09564208984375,156.35709409646228,424.2587715127077,-35.39539511027391,235.00000196529373,275.99999897381474,0.7921568751335144,0.5921568870544434,0.4274509847164154,calibrated_uv_reprojection_plus_stereo_left
-100.28047180175781,18.10035514831543,-508.8010559082031,153.97446523110563,422.62718202647585,-33.41447858095387,236.99999676147485,276.0000004111199,0.7490196228027344,0.5686274766921997,0.40392157435417175,calibrated_uv_reprojection_plus_stereo_left
-98.38933563232422,18.154281616210938,-510.0634765625,153.36873788639593,420.64523583736104,-34.4356689224125,238.99999762387802,276.00000068068545,0.7137255072593689,0.5490196347236633,0.40392157435417175,calibrated_uv_reprojection_plus_stereo_left
-95.74440002441406,18.068124771118164,-507.3907470703125,150.81213795999946,419.07332205243557,-32.13613403599538,240.99999784061134,276.00000055118863,0.5882353186607361,0.4745098054409027,0.33725491166114807,calibrated_uv_reprojection_plus_stereo_left
-92.505126953125,17.862899780273438,-501.37860107421875,146.6261871497934,417.88870544318263,-27.019528745931837,243.000002918775,275.9999994339776,0.5843137502670288,0.4901960790157318,0.3843137323856354,calibrated_uv_reprojection_plus_stereo_left
-89.10195922851562,17.61520767211914,-494.180908203125,141.88898708314503,416.8824513779908,-20.90379349700123,244.99999748597298,276.00000028799093,0.45490196347236633,0.38823530077934265,0.3019607961177826,calibrated_uv_reprojection_plus_stereo_left
-86.8404312133789,17.58634376525879,-493.1263427734375,140.17700594344984,415.2056395925512,-19.971284961927495,247.00000116704217,275.99999938378755,0.6509804129600525,0.6274510025978088,0.6039215922355652,calibrated_uv_reprojection_plus_stereo_left
-84.82940673828125,17.60773277282715,-493.4811096191406,139.15247069226012,413.36509607281727,-20.227657185357145,249.0000020434224,276.0000001280276,0.37254902720451355,0.27450981736183167,0.2235294133424759,calibrated_uv_reprojection_plus_stereo_left
-82.9619140625,17.660457611083984,-494.7132568359375,138.54873529015634,411.41184660074134,-21.22390996065667,250.99999845478908,276.00000049121013,0.34117648005485535,0.2705882489681244,0.2235294133424759,calibrated_uv_reprojection_plus_stereo_left
-80.97106170654297,17.688678741455078,-495.2580871582031,137.6090521622021,409.5374132339451,-21.640332674624233,252.99999714046248,275.9999991966618,0.3764705955982208,0.27843138575553894,0.1882352977991104,calibrated_uv_reprojection_plus_stereo_left
-79.04537963867188,17.73271369934082,-496.2447814941406,136.87718113446908,407.6000479371162,-22.4292262622032,254.99999875902796,276.00000017508756,0.32549020648002625,0.1882352977991104,0.062745101749897,calibrated_uv_reprojection_plus_stereo_left
-77.90618133544922,17.960155487060547,-502.3605041503906,138.57487919173064,404.9582063919271,-27.542258626451826,256.9999976454694,275.9999998378194,0.4274509847164154,0.2549019753932953,0.12941177189350128,calibrated_uv_reprojection_plus_stereo_left
-76.85365295410156,18.220718383789062,-509.3960266113281,140.67688165650225,402.1428608749603,-33.42962420832379,258.9999975864995,276.0000004667205,0.7176470756530762,0.5254902243614197,0.3764705955982208,calibrated_uv_reprojection_plus_stereo_left
-74.91948699951172,18.281015396118164,-510.8284606933594,140.11178960619225,400.07761725649664,-34.592718762724246,261.00000226870884,276.00000066413065,0.7529411911964417,0.545098066329956,0.3607843220233917,calibrated_uv_reprojection_plus_stereo_left
-72.82689666748047,18.304738998413086,-511.2379455566406,139.0612333817354,398.15151799853993,-34.89336096367856,263.00000057414076,276.000000393643,0.7254902124404907,0.5137255191802979,0.32156863808631897,calibrated_uv_reprojection_plus_stereo_left
-70.24002838134766,18.201457977294922,-508.1015930175781,136.35959797633132,396.75533196782055,-32.20562941239274,265.00000107527495,275.99999899753175,0.7215686440467834,0.5137255191802979,0.2823529541492462,calibrated_uv_reprojection_plus_stereo_left
-68.19935607910156,18.23723602294922,-508.8481750488281,135.4688517880964,394.78313015479796,-32.79047407329438,267.0000015993769,275.9999998334457,0.7529411911964417,0.5333333611488342,0.3921568691730499,calibrated_uv_reprojection_plus_stereo_left
-65.34852600097656,18.05116844177246,-503.4071960449219,131.72717435922448,393.7810689097168,-28.16162710800819,268.99999849468816,275.99999940086593,0.6823529601097107,0.5098039507865906,0.3803921639919281,calibrated_uv_reprojection_plus_stereo_left
-60.4090576171875,17.863725662231445,-497.68670654296875,126.6718550260765,391.04262597635466,-23.25481714548971,273.00000204029544,275.99999931892756,0.572549045085907,0.5098039507865906,0.43921568989753723,calibrated_uv_reprojection_plus_stereo_left
-58.281471252441406,17.863927841186523,-497.4460144042969,125.35067520820157,389.261960134013,-23.00865212590935,275.00000104158784,275.99999977369214,0.7568627595901489,0.6666666865348816,0.615686297416687,calibrated_uv_reprojection_plus_stereo_left
-56.2401008605957,17.8911075592041,-497.9563293457031,124.36852747434601,387.35303400219686,-23.395041597533407,277.0000012072832,276.0000006410215,0.4941176474094391,0.4117647111415863,0.35686275362968445,calibrated_uv_reprojection_plus_stereo_left
-52.35817337036133,18.019742965698242,-501.04052734375,123.31496871866783,383.1514501210174,-25.905164343444824,281.0000004531831,276.0000004908097,0.4156862795352936,0.3529411852359772,0.30980393290519714,calibrated_uv_reprojection_plus_stereo_left
-50.276527404785156,18.041017532348633,-501.3840026855469,122.24530808735129,381.25269296828685,-26.150591592794058,282.99999827049214,276.00000035414376,0.38823530077934265,0.34117648005485535,0.2980392277240753,calibrated_uv_reprojection_plus_stereo_left
-46.02967834472656,18.055007934570312,-501.27679443359375,119.75186929894186,377.59741325747785,-25.972703836420237,287.00000032869264,276.0000005655152,0.5803921818733215,0.4117647111415863,0.250980406999588,calibrated_uv_reprojection_plus_stereo_left
-41.825225830078125,18.087657928466797,-501.68707275390625,117.48222141529983,373.8389967629942,-26.230329633434565,290.99999907217875,275.99999998841486,0.9058823585510254,0.7254902124404907,0.4627451002597809,calibrated_uv_reprojection_plus_stereo_left
-37.70041275024414,18.163297653198242,-503.28741455078125,115.71691071928687,369.8279039761627,-27.489137755202933,294.99999727181006,276.0000004481435,0.9215686321258545,0.7450980544090271,0.47843137383461,calibrated_uv_reprojection_plus_stereo_left
-35.61125946044922,18.19318389892578,-503.8665771484375,114.73369055373631,367.858909432441,-27.932363409716174,297.0000000284944,276.00000019312677,0.95686274766922,0.8039215803146362,0.5647059082984924,calibrated_uv_reprojection_plus_stereo_left
-162.3647003173828,18.58661651611328,-500.41912841796875,185.82057905033116,479.18786734877347,-28.199618124811366,175.99999807945755,276.99999972293665,0.8627451062202454,0.886274516582489,0.8823529481887817,calibrated_uv_reprojection_plus_stereo_left
-160.34573364257812,18.602659225463867,-500.6107482910156,184.72821082175085,477.3847759081394,-28.31908638311438,177.99999580262562,276.99999900631303,0.8745098114013672,0.8823529481887817,0.8941176533699036,calibrated_uv_reprojection_plus_stereo_left
-158.31463623046875,18.6175479888916,-500.7710266113281,183.61681408356475,475.57960830667724,-28.41194703603003,179.99999818443976,276.9999999325506,0.9450980424880981,0.8901960849761963,0.800000011920929,calibrated_uv_reprojection_plus_stereo_left
-156.06089782714844,18.60613250732422,-500.22393798828125,182.10551529390585,473.7719340413038,-27.905319116964506,181.99999807477005,276.9999992563089,0.9372549057006836,0.8235294222831726,0.7333333492279053,calibrated_uv_reprojection_plus_stereo_left
-153.5902557373047,18.568004608154297,-498.9594421386719,180.19377374586378,471.9694374311956,-26.790878967906053,183.9999965891381,277.00000013530126,0.9215686321258545,0.8196078538894653,0.7333333492279053,calibrated_uv_reprojection_plus_stereo_left
-150.92788696289062,18.50511360168457,-497.0309753417969,177.91662695287704,470.1795577115167,-25.11408503087455,186.00000253543007,277.0000008627077,0.8823529481887817,0.800000011920929,0.7372549176216125,calibrated_uv_reprojection_plus_stereo_left
-147.230712890625,18.311532974243164,-491.5957946777344,173.69679123281878,468.43704166098286,-20.4668019763202,188.00000403057732,277.00000041206164,0.9333333373069763,0.8745098114013672,0.8352941274642944,calibrated_uv_reprojection_plus_stereo_left
-142.84591674804688,18.292028427124023,-490.6015625,170.7833734688926,464.9011838382927,-19.540132808908254,192.00000874225196,277.00000034415336,1.0,0.9803921580314636,0.929411768913269,calibrated_uv_reprojection_plus_stereo_left
-140.72430419921875,18.29076385498047,-490.3326110839844,169.4550620162912,463.133170786151,-19.27014431487555,194.00000122960995,276.99999960506193,1.0,0.9843137264251709,0.9333333373069763,calibrated_uv_reprojection_plus_stereo_left
-139.0362091064453,18.346485137939453,-491.5907287597656,168.96285282076656,461.3296903952544,-20.293362367026873,196.00000417028622,277.00000039908304,0.9137254953384399,0.8901960849761963,0.843137264251709,calibrated_uv_reprojection_plus_stereo_left
-137.002197265625,18.357389450073242,-491.6473388671875,167.81000892462873,459.54993209107795,-20.29897738630757,198.00000667519777,276.9999991911141,0.8941176533699036,0.8666666746139526,0.8196078538894653,calibrated_uv_reprojection_plus_stereo_left
-135.01644897460938,18.375017166137695,-491.88372802734375,166.75399417930572,457.76359323075263,-20.45678335467568,200.00000519935952,277.00000073634385,1.0,0.9843137264251709,0.9333333373069763,calibrated_uv_reprojection_plus_stereo_left
-132.9210662841797,18.377853393554688,-491.7240905761719,165.4827601256419,455.9888749526548,-20.27926927715754,201.99999734712992,277.0000009903415,1.0,0.9764705896377563,0.9215686321258545,calibrated_uv_reprojection_plus_stereo_left
-130.78244018554688,18.37451171875,-491.39935302734375,164.12322548657988,454.2211368077713,-19.9620135217383,204.00000815812726,276.99999984102175,1.0,0.9686274528503418,0.9215686321258545,calibrated_uv_reprojection_plus_stereo_left
-128.69784545898438,18.378576278686523,-491.2727966308594,162.87091062293763,452.4468617023754,-19.812543058525364,206.0000000185669,276.99999996644,0.9960784316062927,0.9450980424880981,0.8980392217636108,calibrated_uv_reprojection_plus_stereo_left
-126.70967864990234,18.396575927734375,-491.51861572265625,161.81711781464105,450.6558826779558,-19.978228678798416,207.9999997871777,276.9999997646468,0.9960784316062927,0.9372549057006836,0.8941176533699036,calibrated_uv_reprojection_plus_stereo_left
-122.5584716796875,18.407548904418945,-491.34130859375,159.35195041512867,447.1025026507404,-19.743411052764486,212.00000122499364,276.99999992879526,0.9686274528503418,0.9176470637321472,0.8745098114013672,calibrated_uv_reprojection_plus_stereo_left
-120.4521713256836,18.408313751220703,-491.1267395019531,158.05334185317002,445.3331167280588,-19.51947364491201,214.00000275324825,276.99999874860043,0.929411768913269,0.8980392217636108,0.8313725590705872,calibrated_uv_reprojection_plus_stereo_left
-116.16466522216797,18.397409439086914,-490.366455078125,155.28584264888917,441.81861023929457,-18.79156303182424,217.9999957456036,277.0000012320543,0.9254902005195618,0.8941176533699036,0.8156862854957581,calibrated_uv_reprojection_plus_stereo_left
-112.66118621826172,18.513612747192383,-492.9921569824219,154.2699125793696,438.07172413196935,-20.92743015569414,221.99999829736566,276.9999995626044,0.48627451062202454,0.41960784792900085,0.3490196168422699,calibrated_uv_reprojection_plus_stereo_left
